id,path,http_clone_url,web_url,archived
4971923,sovell/Android/5.0/store/com.sovell.store.face_guard,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/store/com.sovell.store.face_guard.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/store/com.sovell.store.face_guard,False
4971969,sovell/Android/5.0/consume-machine-duplex,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/consume-machine-duplex.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/consume-machine-duplex,False
4970976,sovell/brightmoon/CreateActionBizDao,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/brightmoon/CreateActionBizDao.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/brightmoon/CreateActionBizDao,False
4978510,sovell/idish3.0/customization,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/idish3.0/customization.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/idish3.0/customization,False
4972342,sovell/document/database-key-value,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/document/database-key-value.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/document/database-key-value,False
4971784,sovell/data-room/dataroom,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/data-room/dataroom.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/data-room/dataroom,False
4975922,sovell/ai-go/device-gateway,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/ai-go/device-gateway.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/ai-go/device-gateway,False
4975923,sovell/ai-go/dining,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/ai-go/dining.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/ai-go/dining,False
4971977,sovell/Android/5.0/dish-stock-screen,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/dish-stock-screen.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/dish-stock-screen,False
4988698,sovell/ai-go/docking,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/ai-go/docking.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/ai-go/docking,False
4971934,sovell/Android/5.0/army/zhongyisystemintegration/electronic_menu,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/army/zhongyisystemintegration/electronic_menu.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/army/zhongyisystemintegration/electronic_menu,False
4988699,sovell/ai-go/face,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/ai-go/face.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/ai-go/face,False
4978511,sovell/idish3.0/face,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/idish3.0/face.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/idish3.0/face,False
4971857,sovell/Android/5.0/face_tray,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/face_tray.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/face_tray,False
4972135,sovell/document/face-api,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/document/face-api.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/document/face-api,False
4971965,sovell/Android/5.0/face-fixed-gateway,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/face-fixed-gateway.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/face-fixed-gateway,False
4971985,sovell/Android/5.0/face-register-k2,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/face-register-k2.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/face-register-k2,False
4972374,sovell/Android/5.0/face-to-pay,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/Android/5.0/face-to-pay.git,https://sovell-cn-shanghai.devops.aliyuncs.com/codeup/sovell/Android/5.0/face-to-pay,False
